@RELATION HeaderDataClassification

@ATTRIBUTE CellNum		NUMERIC
@ATTRIBUTE AvgCellLen		NUMERIC
@ATTRIBUTE CharNum		NUMERIC
@ATTRIBUTE DigitChRatio		NUMERIC
@ATTRIBUTE AlphaChRatio		NUMERIC
@ATTRIBUTE SymbolChRatio	NUMERIC
@ATTRIBUTE FontSize		NUMERIC
@ATTRIBUTE FontBold		NUMERIC
@ATTRIBUTE FontItalic		NUMERIC
@ATTRIBUTE NumCellRatio		NUMERIC
@ATTRIBUTE CellNumRatio		NUMERIC
@ATTRIBUTE class	{HeaderDataClassification-0, HeaderDataClassification-1}

@DATA
8,	29,	232,	0.12,	0.00,	0.03,	1.13,	0.0,	0.0,	0.87,	0.05,	HeaderDataClassification-0
9,	30,	278,	0.10,	0.02,	0.02,	1.12,	0.0,	0.0,	0.77,	0.05,	HeaderDataClassification-0
3,	5,	15,	0.2,	0.8,	0.0,	1.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
3,	10,	30,	0.4,	0.0,	0.1,	1.33,	0.0,	0.0,	1.0,	0.0,	HeaderDataClassification-0
3,	15,	45,	0.26,	0.0,	0.06,	1.44,	0.0,	0.0,	1.0,	0.0,	HeaderDataClassification-0
3,	20,	60,	0.2,	0.0,	0.05,	1.48,	0.0,	0.0,	1.0,	0.0,	HeaderDataClassification-0
3,	25,	75,	0.16,	0.0,	0.04,	1.49,	0.0,	0.0,	1.0,	0.0,	HeaderDataClassification-0
6,	22,	135,	0.04,	0.70,	0.25,	1.0,	0.0,	0.0,	0.0,	0.71,	HeaderDataClassification-1
1,	136,	136,	0.0,	0.0,	0.00,	2.0,	0.0,	0.0,	1.0,	0.75,	HeaderDataClassification-0
7,	28,	200,	0.0,	0.25,	0.06,	1.28,	0.0,	0.28,	0.42,	0.0,	HeaderDataClassification-0
7,	37,	264,	0.0,	0.19,	0.04,	1.18,	0.0,	0.14,	0.42,	0.0,	HeaderDataClassification-0
2,	7,	15,	0.0,	0.8,	0.2,	1.0,	0.5,	0.0,	0.5,	0.0,	HeaderDataClassification-1
2,	16,	32,	0.0,	0.46,	0.06,	1.5,	0.0,	0.0,	0.0,	0.63,	HeaderDataClassification-0
9,	14,	133,	0.0,	0.66,	0.09,	1.16,	0.22,	1.0,	0.0,	0.63,	HeaderDataClassification-0
2,	74,	148,	0.0,	0.08,	0.01,	1.58,	0.0,	1.0,	0.0,	0.0,	HeaderDataClassification-0
2,	78,	157,	0.0,	0.04,	0.01,	1.79,	0.0,	1.0,	0.0,	0.55,	HeaderDataClassification-0
7,	27,	191,	0.0,	0.11,	0.06,	1.25,	0.0,	0.28,	0.0,	0.55,	HeaderDataClassification-0
24,	4,	96,	1.0,	0.0,	0.0,	1.0,	0.0,	0.0,	1.0,	0.0,	HeaderDataClassification-1
24,	5,	120,	0.0,	0.2,	0.0,	1.04,	0.0,	0.0,	1.0,	0.02,	HeaderDataClassification-0
23,	9,	212,	0.43,	0.0,	0.0,	1.04,	0.0,	0.0,	1.0,	0.0,	HeaderDataClassification-0
23,	10,	235,	0.0,	0.09,	0.0,	1.04,	0.0,	0.0,	1.0,	0.0,	HeaderDataClassification-0
13,	9,	125,	0.0,	0.90,	0.09,	1.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
13,	20,	264,	0.0,	0.44,	0.08,	1.07,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
17,	9,	153,	0.00,	0.88,	0.11,	1.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
17,	18,	314,	0.0,	0.45,	0.05,	1.05,	0.0,	0.0,	0.0,	0.13,	HeaderDataClassification-0
13,	33,	432,	0.00,	0.24,	0.03,	1.08,	0.0,	0.0,	0.0,	0.13,	HeaderDataClassification-0
20,	29,	594,	0.99,	0.00,	0.0,	1.0,	0.95,	0.0,	0.95,	0.02,	HeaderDataClassification-1
19,	37,	709,	0.0,	0.10,	0.05,	1.05,	0.0,	0.0,	0.0,	0.02,	HeaderDataClassification-0
20,	65,	1304,	0.45,	0.00,	0.0,	1.05,	0.95,	0.0,	0.95,	0.02,	HeaderDataClassification-0
19,	74,	1417,	0.0,	0.05,	0.02,	1.05,	0.0,	0.0,	0.0,	0.02,	HeaderDataClassification-0
13,	9,	125,	0.0,	0.90,	0.09,	1.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
13,	20,	264,	0.0,	0.44,	0.08,	1.07,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
17,	9,	153,	0.00,	0.88,	0.11,	1.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
17,	18,	314,	0.0,	0.45,	0.05,	1.05,	0.0,	0.0,	0.0,	0.13,	HeaderDataClassification-0
13,	33,	432,	0.00,	0.24,	0.03,	1.08,	0.0,	0.0,	0.0,	0.13,	HeaderDataClassification-0
20,	29,	594,	0.99,	0.00,	0.0,	1.0,	0.95,	0.0,	0.95,	0.02,	HeaderDataClassification-1
19,	37,	709,	0.0,	0.10,	0.05,	1.05,	0.0,	0.0,	0.0,	0.02,	HeaderDataClassification-0
20,	65,	1304,	0.45,	0.00,	0.0,	1.05,	0.95,	0.0,	0.95,	0.02,	HeaderDataClassification-0
19,	74,	1417,	0.0,	0.05,	0.02,	1.05,	0.0,	0.0,	0.0,	0.02,	HeaderDataClassification-0
14,	1,	26,	0.53,	0.23,	0.23,	1.0,	0.42,	0.0,	1.0,	0.34,	HeaderDataClassification-1
29,	6,	199,	0.18,	0.29,	0.39,	1.03,	0.0,	0.0,	0.0,	0.34,	HeaderDataClassification-0
